id	page	item_id	item_num	name	info	ItemType	IconName	pay	cost	hot	hot_type
type	Int	Int	Int	String	String	Int	String	String	Int	Int	String
note	页签1-充值、2-兑换、3-英雄、4-道具	售卖物品ID	单词售卖物品数量	英雄道具名	信息描述	物品类型，0消耗类型，1非消耗类型	图标名称	付款类型，可以填道具表内存在的任何实体道具或货币，比如101和102	价格	0	
default	1	0	1	num	num	0	mm	101	100	0	0:无标,1:推荐,2:热销
1	3	102	1	可可		1	UI_hero_001	8	1000	1	
2	3	102	1	可可		1	UI_hero_002	8	2000	1	
3	3	102	1	可可		1	UI_hero_003	8	3000	1	
4	1	102	1280					8	128	1	
5	1	102	2580					8	258	1	
6	2	201	1					102	1	0	
7	2	202	1					102	6	0	
8	2	203	1					102	27	0	
9	2	211	1					102	24	0	
10	2	212	1					102	48	0	
11	2	213	1					102	72	0	
12	2	214	1					102	96	0	
13	2	215	1					102	120	0	
14	2	301	1					102	9	0	
15	2	302	1					102	90	0	
16	2	303	1					102	9	0	
17	2	304	1					102	90	0	
18	2	305	1					102	9	0	
19	2	306	1					102	90	0	
20	2	501	1					102	65	1	
21	2	511	1					102	65	1	
22	2	521	1					102	65	1	
23	2	531	1					102	65	1	
24	2	541	1					102	65	1	
25	2	551	1					102	65	1	
26	2	581	1					102	65	1	
27	2	591	1					102	65	1	
28	2	103	1					102	15	2	
